fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.0040888368854606,-0.0048666057020063,692,same,1,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-0.0002937153558697,0.0003607212948985,0.0101223649384551,-0.0008760654975696,-0.0002288316379563,0.0004185866219394,0.0114850177811965
1,-0.0115885585984176,-0.0138193355788498,692,same,2,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-0.0005710605501998,0.0006264921786928,0.0031772511905817,-0.0028156205967285,0.0028136461140231,0.0008006522934599,-0.0028249488208046
2,-0.0004086307218835,-0.6010922935004903,692,same,3,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-2.051212295279825e-05,0.004109097875215,0.0137000524073942,0.004288148970697,-0.0078202355939646,-0.00019975909816,0.0072760902110954
3,-0.022111225347952,-0.0306197430518109,692,same,4,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-0.0007500342514067,0.0017424986608796,-0.0049691562660184,-0.0068894037384833,-0.0015821270297188,-0.0004604391966222,0.0003862229130343
4,-0.0140903034276198,-0.0300199310998801,692,same,5,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:4|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,0.0003947372619715,0.0006554899851684,0.0011185658983282,0.0054481763269495,-0.0034000401531122,-0.0028672846282431,0.0098447641533214
5,-0.0055228574548376,-0.0089280426969635,692,same,6,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:4|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-0.002979113438938,0.0046983197033215,-0.0034841866925026,1.0624199641151575e-06,0.0041156026975044,-0.0003546941118491,0.0139578235242767
6,-0.0225871269016841,-0.3491741232592837,692,same,7,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,0.0001613450367792,-0.002655017235967,-0.0033810890214029,0.0001238874537135,-0.0048001853413758,0.0004411566587513,0.0005396301149759
7,-0.0189996121407036,-0.1460118885042096,692,same,8,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-0.0002305661670089,-0.0001958966580409,-0.003071485492197,-0.0070747638440153,0.0014340196509195,4.6936934833707866e-05,0.002266897315763
8,0.0178715876780913,-0.0091570358392587,692,same,9,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-0.0002591327655383,0.0043873916238648,0.0044149587734123,0.0016481731979052,-0.0012085528702605,0.0005467237200502,0.0193486499321934
9,-0.0163658050782165,-0.0171657749859219,692,same,10,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,0.0001355220400277,-0.0031631085875302,-0.0053677870498598,0.0025135010213632,0.0044590896062467,-0.0003609269304577,-0.0013292958446196
10,-0.0209829251403725,-0.0399229341289697,692,same,11,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:4|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-0.0010506023437838,-0.000298612864573,-0.0012744732492405,-0.0004106265801721,-0.0016258920940614,-0.0008968670454565,-0.0018089470118342
11,0.0124379401222595,-0.0175686513691644,692,same,12,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-0.0004379021816046,-0.0060889003624539,0.00668379728907,0.0050063301653659,0.0017804740551468,-0.0005567344720157,0.0243405331933133
12,-0.0013178054221016,-0.0042097217190761,692,same,13,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:4|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-3.217383588012268e-05,0.0068519289981526,0.0008758201786519,-0.0012051612551804,-0.0053594087386481,-0.0008281824660831,0.0080161431818395
13,-0.004237150571815,-0.0769390668852454,692,same,14,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-0.0003733373519954,-0.0035039356594974,0.003337641777354,0.0031965212157418,0.0028878842015895,-0.00155962064712,0.0100091992751852
14,0.0105484173345891,0.0005500601418033,692,same,15,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,0.0005833895905188,-5.462981159976011e-06,0.0071883265574154,0.0065323840475647,0.0016236269941074,0.0005388596744272,0.0134675008441984
