fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.0033238080024325,0.0020553657219454,1593,same,1,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0047558845513416,0.0083922473292583,0.0069467137335668,0.0054015181059987,0.0085442053341453,0.0077680565240299,0.0103648011002453
1,0.0034354234736519,0.0025602475968473,1593,same,2,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0047586989953788,0.0083794236852018,0.0070476553386055,0.0053701620917317,0.0083998706560746,0.008230303292824,0.0100579209426181
2,0.0143656087601831,0.014113420546861,1593,same,3,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0046836478110784,0.0083814285414123,0.0070777183202285,0.0054450946006228,0.008140413911808,0.0080024045634831,0.0099067776346468
3,-0.0009720582997791,-0.0215527354201539,1593,same,4,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0043917807647639,0.0084889654390064,0.0067528735667106,0.0054390627859567,0.0082084453806885,0.0078564419087244,0.0104925288626965
4,0.0009367122622074,0.0009089417820951,1593,same,5,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.004880256979535,0.008417898086336,0.0070757298561887,0.0055980326587623,0.008486813989676,0.0081866606682476,0.0099718748400182
5,0.003934879142897,-0.0681422803302973,1593,same,6,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.004160329071449,0.0083714456132076,0.0068660390420724,0.0054802776563724,0.0079618479384229,0.0077446812937807,0.0098865050417719
6,0.006861303835916,0.0062594707859738,1593,same,7,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0047907801266266,0.0085966889336365,0.0070092304766844,0.0058007948615854,0.008314024639636,0.007668934156824,0.0100339639746723
7,0.0007646374091621,-0.0057954726257869,1593,same,8,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0047269943156948,0.0085785744021897,0.0070164140778835,0.0053862017581965,0.0084901180474842,0.0078177625753782,0.0101921527926875
8,-0.0023382855114639,-0.0748785650495253,1593,same,9,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.003941479335688,0.0077352787087961,0.0065794692353643,0.0053612152898851,0.0080435712371613,0.0072558908804876,0.009989790731474
9,-0.0029817833382115,-0.0156380085150982,1593,same,10,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0046157645591038,0.0084406341008092,0.0067166643304672,0.0055398915157743,0.0085583355964637,0.008011267573209,0.0102757837173678
10,-0.0051807260415455,-0.0066899965661602,1593,same,11,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.00484588241679,0.0084608990659297,0.0071084054597165,0.0054549404659525,0.0084726419542769,0.0080698932506369,0.0103849246462263
11,-9.604621753789289e-05,-0.0008155446752247,1593,same,12,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0045117378948637,0.0088106221529024,0.0069172525331941,0.0054331952300045,0.0084143515104397,0.0081203851468418,0.0101508901912607
12,-0.0039390204860083,-0.0066492543827643,1593,same,13,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0048126644826693,0.008827170939013,0.0068735788408321,0.0054250147817402,0.0084693175922703,0.0079147897417734,0.0103395384692166
13,0.0020805062719266,-0.0012825930405839,1593,same,14,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0047359732186311,0.0085705666744724,0.0068279155286436,0.0057128624224326,0.0081780863249604,0.0080516341732947,0.0102063489929188
14,-0.0115117272973324,-0.011571751226528,1593,same,15,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0045714499316587,0.0085671473949483,0.0068400405500162,0.0059373375279772,0.0087033220863309,0.0080110129415024,0.0105231592269269
