fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,-0.025160528336904298,-0.05084750946230421,4313,different,4313,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,-0.0018348786475122837,-0.0018772322707018229,-0.0015618290230070553,0.0016780949009783885,-0.00029782639405593334,0.000362043831110137,0.00036034313137442984
1,-0.025106336909258786,-0.04526644862085827,4313,different,4313,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,-0.0011262259236006322,-0.0007239101710375007,0.000511234072148703,-0.0011722850637241322,0.0007946508540962238,-2.7816421118087575e-05,0.0045607566011401255
2,-0.02360903201841702,-0.03175631141827373,4313,different,4313,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,-0.0016506816263758938,0.0014272992271973984,-0.001180002613213782,-0.0030625407985818585,-0.001688076060069088,0.003986540743651634,0.004449018076947331
3,-0.04023554429689358,-0.0723667867636717,4313,different,4313,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,-0.0011578180000058947,-0.005329485572488668,-0.0005727314678313,-0.0008341310961599291,-0.002570241261467432,-0.001459516271747363,-0.008983362285480467
4,-0.01567316145518971,-0.03161428036977543,4313,different,4313,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,0.0011982502333407919,-0.000109792592855662,0.004422726259343701,0.0009468795476469172,0.0014189769021925257,0.003116120123050692,0.003971839874044214
5,-0.019184549220805147,-0.04256978402408218,4313,different,4313,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,0.003849369347828224,0.001073146407742831,0.003244450459371162,0.0036194800938507575,0.0008682631695863918,0.0010284749869570397,0.00016513468709002943
6,-0.02711529899042664,-0.05764647696478442,4313,different,4313,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,0.0036555970704013952,-0.0028842147304849242,0.0024407463520847105,-0.0007010366527898437,0.00038866457193238447,-0.0015912115121032855,0.0032679947925580155
7,-0.012377204106210682,-0.04020129465196476,4313,different,4313,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,0.004276166766240807,0.0021138143352145812,0.005289276561611667,0.0027952626214547303,-0.0009417170709165923,0.0019138494178172927,0.00260690461895412
8,-0.023982154778809495,-0.04493480584955423,4313,different,4313,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,0.0013699894151564251,0.0009866637655532972,0.003761260501777386,-0.002112250970101659,-1.1436091764682743e-06,0.0008227729251490512,-0.0013039536640659043
9,-0.022497392027546637,-0.044780967392420434,4313,different,4313,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,0.0005078943291218607,-0.0008288583784232361,0.0040628701556932436,0.0011194330155729127,-0.0011797668698196428,-0.001947888096828576,0.005642192389469436
