fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,-0.0489245826312496,-0.1319966359898774,473,same,1,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.014175917,-0.035996396,-0.054735377,-0.07082935,-0.08545764,-0.097941205,-0.10813016
1,0.1193750463490009,-0.3704797405340425,473,same,2,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.28455657,0.3534012,0.37566152,0.3834449,0.3861499,0.38710448,0.38769603
2,-0.0514828403983704,-0.0750609779801316,473,same,3,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.12794939,0.17399527,0.19528699,0.20488346,0.20974725,0.211628,0.21225575
3,0.1500333663582391,0.1354879752067413,473,same,4,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.11029729,0.15113096,0.16787976,0.17359804,0.17599311,0.17611758,0.17480315
4,-0.0898946943792275,-0.1358938977576516,473,same,5,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.08109267,0.10703176,0.11662374,0.11996507,0.12155233,0.122793436,0.12371595
5,0.4640506233117839,0.4587085966274135,473,same,6,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.00011323874,-0.027001595,-0.0583671,-0.08981349,-0.11973209,-0.14727879,-0.17213018
6,0.6067621730339068,0.6062504806291291,473,same,7,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.1376548,-0.24654172,-0.33913952,-0.42019114,-0.49187934,-0.5554351,-0.6109475
7,0.2326537737579131,0.2325316765001782,473,same,8,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.090992816,0.13564196,0.1558226,0.16408442,0.16701359,0.16790648,0.1677457
8,-0.1272165929224751,-0.1980817086867634,473,same,9,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.045658648,0.04987014,0.048004884,0.044601988,0.040313017,0.03627676,0.032360762
9,0.5455910025650824,0.400010061202885,473,same,10,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.22942586,0.28803283,0.3101502,0.3185797,0.32205224,0.32345924,0.32412398
10,0.0336422777074553,-0.0945968470950735,473,same,11,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.22082922,0.27757615,0.30053753,0.3099751,0.31329262,0.3149947,0.31562918
11,-0.0632134966270916,-0.0923587706398318,473,same,12,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.13115667,0.17948957,0.20219189,0.21239044,0.21730508,0.21983871,0.22137514
12,-0.161048683226948,-0.1641961789762005,473,same,13,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.176993,0.24526452,0.27209723,0.28249714,0.28666255,0.2885742,0.2895681
13,-0.0473020404017707,-0.1160808179864514,473,same,14,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.13803266,0.17816848,0.19610377,0.20369492,0.20737153,0.2087318,0.20992884
14,-0.066620462208216,-0.133156789619576,473,same,15,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.12097505,0.15008983,0.16270263,0.16820297,0.17135128,0.17342828,0.17531991
15,-0.0893206646472295,-0.134573113872322,473,same,16,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.18187705,0.24634399,0.27440855,0.28678447,0.29211742,0.2953125,0.29736188
16,0.2056170570980201,0.0108981321342974,473,same,17,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.2664224,0.32564446,0.3487853,0.35627308,0.35927647,0.36041805,0.3609083
17,0.0277466019195049,-0.0459887600953066,473,same,18,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.021922126,0.004937976,-0.012546231,-0.027669322,-0.04039891,-0.050992124,-0.059280097
18,0.172839201401965,0.1723414039813366,473,same,19,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.12589653,-0.22714828,-0.31191623,-0.38597497,-0.45107156,-0.5093429,-0.5609575
19,-0.0523608638012358,-0.0759340542248168,473,same,20,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.08080099,0.11169898,0.12491031,0.13032316,0.13214685,0.13241659,0.13236439
20,-0.0635195246985289,-0.0898773543829276,473,same,21,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.20613219,0.27347693,0.30003124,0.30991113,0.31345743,0.31497276,0.31559235
21,-0.1381326566012921,-0.1983933606483932,473,same,22,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.049099904,0.05987565,0.063251115,0.06335412,0.061842497,0.06006221,0.05983183
22,-0.1846297840234383,-0.2465524050614143,473,same,23,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.045989655,0.05887745,0.062999934,0.06352035,0.06279898,0.061585136,0.06065744
23,0.2159811784064038,-0.3300275788371947,473,same,24,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.28248346,0.34579366,0.36637852,0.37331164,0.37604883,0.3770738,0.37722263
24,-0.0285417616647594,-0.0967627168207658,473,same,25,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.17726097,0.22178906,0.24057694,0.24765556,0.2504823,0.25237653,0.2529148
