fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-14,features T-13,features T-12,features T-11,features T-10,features T-9,features T-8,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.08751809023594703,0.06888762397432924,677,same,1,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Perception,Perception,0.02629850213564507,0.024242850559356707,0.01953901568586681,0.024709965921151822,0.030670033914824046,0.032107326683538995,0.09192254701768399,-0.007490460679056357,-0.00035046153163482844,-0.008014002404744,-0.0009544725111558361,-0.004132322881835335,-0.003292900839342349,0.0002956113804320106
1,0.043581082275848115,0.04290387347499225,699,same,2,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Perception,Perception,0.028334851258442793,0.021504613253543817,0.020687273762883797,0.02387945195802967,0.030881571128569364,0.02837323930604562,0.09538952669643483,-0.006452182116506984,-0.0008096992276550028,-0.008056111632993733,-0.0017332315330619535,-0.0024276374881122206,-0.004080208176679838,0.0010045145863859847
2,0.004519943070438459,0.004369959156686254,680,same,3,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Perception,Perception,0.02671339729402061,0.02466185752961737,0.01997629929982828,0.024902740797260643,0.03018521919614396,0.03358449134331022,0.0896221203595628,-0.006437592883576067,0.00020552745793255532,-0.007460485200404795,-0.00241570863018607,-0.0023703894468208577,-0.003150971267544536,0.0007508778699299347
3,0.1224375908055334,0.12103582503192356,690,same,4,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Perception,Perception,0.026451870838545024,0.02406456580885843,0.020976641685520873,0.025824581378336518,0.03182621151028607,0.03297336482714145,0.0895727611276059,-0.0065170688617508755,-0.0004575045070423614,-0.008220344764728126,-0.0013309876531207162,-0.004159819606465115,-0.00374078503839024,0.0001529025586454644
4,-0.00033650009258234803,-0.00042309561445352806,689,same,5,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Perception,Perception,0.025759173486743947,0.02398736547577787,0.020598514431050787,0.025370267467271466,0.031690156387742176,0.030498655258396675,0.09429172094100187,-0.007396608832235557,5.8007130206908686e-05,-0.008315701101960995,-0.002001424051088064,-0.003989497925332871,-0.004051033557083754,0.0007277924187870967
5,0.37745421330523254,0.3774462312415079,691,same,6,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Perception,Perception,0.026394498685719844,0.024490943815076174,0.0208112572445113,0.026651370806293432,0.03149146304940326,0.031714198676925515,0.08892163653930878,-0.006221891273184488,-7.487901505534387e-05,-0.007776794002345304,-0.002982500694445802,-0.00511805221887734,-0.004443622824825871,0.0001220473353267647
6,0.018043843451204022,0.018039757303334736,670,same,7,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Perception,Perception,0.026045428067752806,0.02417940500317365,0.020005576391864,0.025881500429115325,0.030666471991645305,0.03296692248126735,0.09173482579233658,-0.007090618423358116,1.0744653027244063e-05,-0.007830308004868667,-0.0016841677536660752,-0.004535146149359992,-0.0037906283220338175,0.0010842039188603972
7,0.3272463069711713,0.2900765257941379,560,same,8,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Perception,Perception,0.026491521952460895,0.022328911253599055,0.01999040761719388,0.024957974733190294,0.03016566108905194,0.03212744431839471,0.09059756863082274,-0.006848838979665893,0.0004229222816208769,-0.00827250425290294,-0.0020031367400663107,-0.003999154805225707,-0.004242527080692633,0.00013730383151812814
8,0.40433919799224205,0.38421341590763536,365,same,9,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Perception,Perception,0.026197643514834095,0.02305629694900295,0.020493106835124043,0.025131176759161954,0.030554380235358343,0.03216701182912876,0.09014998661655288,-0.006714377111895339,-5.305615537081973e-05,-0.008139959596582686,-0.0022187109082121444,-0.0044202422335387626,-0.0040184644071997915,0.00040324408524112555
9,-0.0423411657124122,-0.04826088077017232,653,same,10,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Perception,Perception,0.026508233085898513,0.02242903982966891,0.01949024583571519,0.024996428271835885,0.0304406183063942,0.03414318049972193,0.09096569362828455,-0.006653045035828432,0.00010096469864301836,-0.008597296101162858,-0.0009226080068761237,-0.004078795590381091,-0.002797009921138707,0.0014645286778303982
