fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-14,features T-13,features T-12,features T-11,features T-10,features T-9,features T-8,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,-0.14736999307097198,-0.14737048031217692,119,same,1,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(C=10.0, loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(C=10.0, loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:10.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Memory,Memory,0.029063893855060353,0.02250789038488258,0.023257934216583925,0.027582494673674608,0.016635960431312196,0.03097238239475503,0.06422429078948882,0.00214939564874819,-0.001756244147374968,-0.004627524495381868,0.003357288293303905,0.0038699392888202344,-0.0007529741663342892,-0.0061757333474010525
1,-0.014636072860723104,-0.016538953807743395,119,same,2,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Memory,Memory,0.028940894696352172,0.022246994369799145,0.02021730267014431,0.02443720678989502,0.019170705731963958,0.02783878757371043,0.05399347606137744,0.0027735454814192145,-0.003706158045931655,-0.0007339742657224118,0.001672095926081052,0.0012752715742252074,0.002733470779089216,-0.0017503117702104677
2,-0.08150016058876797,-0.08372865105136618,119,same,3,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Memory,Memory,0.02907249908938689,0.021059788142840964,0.019823671801862168,0.02477142196195929,0.01906420613472826,0.027880520806775725,0.05546817892831829,0.003027159423999263,-0.0028415029628031025,0.0015453661013158473,0.00311972333332173,-0.0009160140544282675,0.002635378989879107,-0.002884942684928845
3,-0.03977819949974415,-0.04191439632893945,119,same,4,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Memory,Memory,0.028945535746347586,0.019880857745361427,0.02095498136092452,0.024028256991486988,0.019970391834040674,0.024134476637241234,0.05837351311107528,0.0033311706922737176,-0.0025364950504081626,0.0008255459495800829,0.0027963129162778076,0.00020365951910393515,0.0034353307734044077,-0.0032338881435940614
4,-0.01159412440833174,-0.03443326716129813,118,same,5,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Memory,Memory,0.02976834488205991,0.020767625068770917,0.019842346353826056,0.024855398803372238,0.01837621553934663,0.027159923007889417,0.055331201874946834,0.0032013450307311945,-0.0016635204873593629,0.0011304984106094756,0.0020445584646842574,0.00024762138070662796,0.0021983624185403956,-0.000984040529913806
5,-0.0866406686546648,-0.09600418071378325,119,same,6,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Memory,Memory,0.030506342422141293,0.02059069752621571,0.020266502285146978,0.023665418744723082,0.017562894599340528,0.027552007448949298,0.05644711216644252,0.0030540407665801245,-0.002364752322185555,0.0014167128298845138,0.002151141038346079,0.00039718551034524565,0.0032873793079782393,-0.0016392352958989407
6,-0.06825203450855066,-0.07172213964311425,119,same,7,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Memory,Memory,0.03069869089607668,0.02063268491266216,0.020498430310428625,0.025376456248788783,0.018246415521468672,0.02672964963674522,0.05528363791001587,0.0029287660774045127,-0.002319831652028119,0.0012666170302265843,0.001674708563625698,0.0009102687856776328,0.0029629036835798496,-0.0021553747390279125
7,-0.016964757000277997,-0.022851980505236735,119,same,8,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Memory,Memory,0.03001928872719418,0.021475620822743444,0.018520674257572842,0.024520439284490225,0.01806672116456511,0.026745599545879396,0.05725808645434103,0.002918619986125089,-0.0021244125052158574,0.0005455387715507913,0.001800688508981134,0.00012497677941367849,0.002502228968161293,-0.0028947250264899616
8,-0.06970344256095129,-0.09501652086295298,119,same,9,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Memory,Memory,0.030296980769646847,0.018205999050661583,0.020523605726892175,0.023462813432647892,0.01840903711812735,0.02773621174405068,0.056028247942503356,0.003785178836501986,-0.0027183255722681835,0.00163316991297067,0.002334630291181924,0.0008510035577886251,0.002338256752631594,-0.0024479811751680495
9,0.13057359832072257,0.12610207451598665,119,same,10,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(C=10.0, loss='squared_epsilon_insensitive', random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(C=10.0, loss='squared_epsilon_insensitive', random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:10.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",confidence-accuracy,Memory,Memory,0.029274151814948843,0.020390644043245542,0.016093003194586793,0.026533482140571434,0.016187156220628017,0.0279672333932139,0.056130547380756714,0.0040799340876141975,0.001050297270868608,-0.007958351514922857,0.0024810380912437414,0.005746793051723551,-7.912721595036568e-05,-0.006231058266228164
