fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-14,features T-13,features T-12,features T-11,features T-10,features T-9,features T-8,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,-0.01854557843138127,-0.01977289747496358,118,same,1,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07040814211311061,0.04364913309699212,0.04944585427247758,0.08525629323866449,0.05401118049930179,0.11849061570114755,0.1724139220892374,0.00915761060332063,0.0002827826600697381,0.007398890424930519,0.018088573141658775,0.0007820040327896672,0.01070939557105843,0.019542166043683647
1,0.07671254369472058,0.033525770371746644,119,same,2,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07302835021832221,0.04064398688575154,0.05012849794411547,0.08397477379308724,0.06197760867289902,0.10673789685891746,0.17031782174543478,0.010506888157607933,0.0014691259378773421,0.007726922449476384,0.017682791084193336,0.002750669294773322,0.009479518735053892,0.020002379200447572
2,-0.0884580817784002,-0.10549786123059413,109,same,3,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07028180221998613,0.04435330706959296,0.04673424449010834,0.08740064934732647,0.05778342780102572,0.11234795924112512,0.17267897449157604,0.009728099442903091,0.0026317453576043936,0.008126518124966002,0.017346350871676925,0.0020088803483746765,0.011089349898782023,0.020459926208574668
3,-0.04980343396255216,-0.1087461410946271,117,same,4,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.0706072282561131,0.04461086454378083,0.04810106616667126,0.08389529644895358,0.059151563616381866,0.11174783225468624,0.1690301817246875,0.009840387100198222,0.0014508647431335023,0.00789732779220178,0.016541121879029022,0.0012924284735392317,0.009743375323569668,0.018692116368600298
4,-0.12246732037839059,-0.12387623345829302,118,same,5,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07001471222190545,0.046203835724150405,0.047173748013475306,0.08715510045145704,0.059318763620708946,0.11291002983631797,0.17204828157891444,0.009943755725495908,0.0028388433812375664,0.0077813152436889904,0.017346675820668848,0.001527625997021239,0.008125229827071926,0.018128671318578374
5,0.1167249712751548,0.11653298707622561,102,same,6,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.0720174559315246,0.04542985483955699,0.04914482766094733,0.08382152355794042,0.058773657112365194,0.11193141697839187,0.16775507689502778,0.010544135816815117,0.0025239547607603494,0.007471764533883604,0.016450080409675702,0.0020410768564908394,0.009592642391790956,0.01883084290190862
6,-0.08462463599918357,-0.21796449906456394,112,same,7,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07180194880654713,0.042087073200048564,0.0477992520047481,0.08509180551007756,0.058430633573553256,0.11018001717224986,0.16783851491752885,0.009648897709763767,0.0007702567346175195,0.007090546757520465,0.016687977098774377,0.0015907211425515329,0.010489855659353618,0.01911266931230652
7,0.009037283965965481,-0.004236241887492387,119,same,8,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07392794165914048,0.04428510140977822,0.04768278667557087,0.082463684719253,0.05983927060038756,0.11375855965877549,0.16893903410232855,0.011288179960997315,0.002121119579834349,0.006978732724260908,0.01603109850730767,0.0025088199330490337,0.010495758885719395,0.018578125761003515
8,-0.039779826527748696,-0.04750709392044117,119,same,9,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07028835616914736,0.042828112972455555,0.048111163704692685,0.08914412211284996,0.06120513794807304,0.11190716455281942,0.16851778135400336,0.008950049613028529,0.003385676320970583,0.0075767251018194395,0.01916236967475451,0.0013703236691191474,0.00899837358255351,0.019184346961656662
9,-0.11364490366941915,-0.11698698213303471,119,same,10,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07605550620994722,0.041748300168244525,0.04523897831784649,0.08905077420011465,0.06068229063349314,0.10959165048281808,0.172521940520523,0.011521548080950883,0.0018716853489704928,0.006671278579396625,0.017900978636241665,0.0021156974229482512,0.009993492609341844,0.019780148015910742
10,-0.005617675821261381,-0.038627396962662486,119,same,11,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07161596659324171,0.04393984869266065,0.04806308240274495,0.08899166178820049,0.057705201966466654,0.1130751343024879,0.16603290207195015,0.010372903769417453,4.8712749443435605e-05,0.007272646057387677,0.015891010673235624,0.0004608299421183855,0.01080957868861563,0.019257860486302836
11,-0.07595872212239829,-0.07762286829761078,118,same,12,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.07409452117422613,0.04764632146745789,0.05095212137830128,0.08256738448247443,0.06457372452570329,0.10722225297592353,0.17301157173157194,0.01013651314143636,0.0019525768300690189,0.007302770109787327,0.0174816268470729,0.0020465612252645276,0.010866784750417881,0.021203336122634576
12,-0.04042337466183099,-0.04060883799469672,118,same,13,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence-accuracy,Memory,Memory,0.0728710546775048,0.04297758968184755,0.04920115136644919,0.08789399561223851,0.0599159115288274,0.11354229357406452,0.16712187827701658,0.010469952438744157,0.0014986998265411999,0.007521869056369318,0.01643663356581019,0.0011381930470062184,0.009835848377226088,0.017558281173013418
