fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-14,features T-13,features T-12,features T-11,features T-10,features T-9,features T-8,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.16223419818457097,0.142227505577469,685,same,1,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.033484432449251145,0.018622147558932788,0.007933075934818956,0.013188174397235897,0.008992501558418664,0.015558111511219153,0.03864532119614077,0.000695188299113636,0.0005160794743416907,-0.001874186861418581,0.0015586085636489556,0.0005288993061628,0.0008139657731111915,0.0014103778272979816
1,-0.01758047424495901,-0.0716425354380974,593,same,10,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.00888102178003467,0.0007737014082441984,-0.000405129480549693,-0.008339403668248212,-0.007054943627233956,0.016305555719674604,0.04082940084445186,0.0009561270986281123,-6.010787318806443e-05,0.00023435109396325872,5.469177649466417e-05,-0.000641237976657294,-0.00045224995541119916,0.0010378464744520866
2,0.2391542186985005,0.21622065226488973,588,same,11,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.016544572275783497,0.02211183842932716,0.03132721356338301,0.008144020488930547,0.02533792212080317,0.05678306525289787,0.11152551688504449,0.0013191662401649707,-0.00030145120019098304,0.00022499348591917823,0.0012158904430052075,0.00039715648478009233,0.0017416741544334703,0.001325705852612269
3,0.283467620940719,0.27815024858588266,703,same,12,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.015964714910807244,0.026972572782987193,0.02975437498576925,0.024124208620185585,0.029533983623668148,0.05326186328671563,0.11142678910771056,-0.0009442606115682483,-0.0006892539913938567,-0.0009389140716429045,0.00026259814850093655,-1.4517531125268767e-05,0.00015718860558753268,0.0017284836686140004
4,0.2855486746637401,0.23300861920999527,314,same,13,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.018324081660676027,0.022122805019826754,0.02147879732367395,0.027252930030688138,0.027672439257514482,0.04017630156405842,0.10790570769278658,0.001000636633507468,-0.0010974834051364012,3.630803423610995e-05,0.00024371671483804924,0.0006995993402452383,-0.00021960351836454174,0.0016361359911860386
5,0.11236909872702561,-0.04477275237301348,329,same,14,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.023250295239523287,-0.004328442755767848,0.023501966967388932,0.0038745615121654974,0.014204578737861939,0.031585490109105274,0.05845952898498112,-0.0010491863755279552,9.32648451950735e-05,0.0012836868801430201,-0.0024956815960998522,0.0011813709754407542,-0.0014733451520278385,0.00030848778561205493
6,0.25283427826563176,0.1854870597522078,408,same,15,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.021353006062475567,0.018968952590185762,0.018957542501053682,0.02313462986500734,0.017204424373679972,0.03867247656265886,0.11870866572735668,-0.00031878116326615745,-0.001672081382553392,0.004598314419319771,-0.0008138901213136984,-0.0017913704731965297,0.0017814601405277796,0.0013075822631074096
7,0.2047944738867461,0.056412570848132115,246,same,16,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.020325435276896654,0.020638482971326887,-4.146283754291602e-06,0.024323095282388185,0.03469817434034668,0.042670849156505854,0.10484009009462184,0.0006537270064103096,-0.00249742659545249,0.00113850821715904,-0.0023132481035878618,-0.0017246364754795796,0.003050852434170004,-0.0006296417186770098
8,-0.030233431148635193,-0.06983396332921954,351,same,17,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.016567512805147944,0.0006483506990870413,0.008934825333868046,0.00715361747050296,0.010094386886082062,-0.019275032184861395,-0.018056753269678837,0.0040373992959820805,-0.0020431460201885353,-8.24323536807725e-06,0.0030763385129387367,0.0004225684504666649,0.005772583313728319,0.004403439454328417
9,0.33769030934926514,0.12911382297811647,782,same,18,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.029293440180230657,0.03814758672070719,0.03949340624943143,0.029428694390056354,0.03717428276921286,0.03222372639257198,0.11950532498007811,0.0013789785187938053,0.0019302482473939398,-5.919761065900087e-05,-0.0012258386960422695,0.0011441857775996045,-0.0022511652413976123,-0.0007316268709574248
10,0.6122212675930683,0.6063783074868987,811,same,19,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.059143039749340896,0.06808503063029522,0.07491679193798687,0.07795261910492754,0.08062801326620324,0.1039326273779801,0.1966936527840227,-0.00015083030406832788,-0.0004861662674510159,-0.00025007104527647873,0.000550439932137392,0.00025479471766409745,0.00018753435709750743,-0.0005840610433167414
11,0.21680623055452297,0.18605273096314978,607,same,2,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.012659758501147112,0.013172874091267817,0.02614192235385888,0.015680681779254146,0.02154290176885725,0.04909283513162719,0.06874913144480628,0.00118610108623165,-2.7293611669132466e-05,-0.000907065302252752,0.0005894696149528311,-0.0015473891905092296,0.0009212400688383582,0.0011939142178317042
12,0.20300325874582026,0.036615707815620846,325,same,20,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.01620123642564224,0.005942394624158442,0.043109794672912184,0.027990205298880612,0.03594003394636529,0.05682928951140627,0.06739952080396243,-0.001790428591746962,-0.002743745897245309,-0.0009334848685686348,-0.002335767265039146,0.0026823818100602413,-0.0015035366780274285,-0.0013281086071573744
13,-0.012392883415599742,-0.05515867914065886,363,same,21,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.007566341470106375,-0.004849115376832613,0.005271348987967018,0.004845481813495933,-0.0004433117228650474,0.017994145986995492,0.0234717875904046,0.0006236972624913406,-0.0007618103847042868,0.005810173719030453,0.0004528758096887131,-0.0007356067609987527,0.0006378249348548692,-0.0010321202108105165
14,0.3027404008282214,0.2354038875986002,345,same,22,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.018760717672665028,0.014197105602349037,0.030544495476261035,0.021445103348227402,0.03242688864029506,0.023649740469605284,0.1243384981936034,-0.0017549381074787763,0.0013854812862710065,0.0006000904001610907,-0.0016560906097263129,0.00035291969132844603,0.00012884072451195826,-0.0016884203012613951
15,0.16244970053835628,0.10949220879810617,397,same,23,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.02087106217747714,0.02565783480117345,0.01900802210754913,0.013662024503156811,0.019280684818459837,0.024631354406441885,0.06870035385387532,-0.00046911817528012546,7.733055810967837e-05,0.000756458828552109,-0.0013702198607049132,0.0023739314265175614,-0.0014504882943504604,-0.0014243853178431687
16,0.13757919904145055,0.09504106945014801,301,same,24,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.01019975885825306,0.004463890305489859,-0.004225648359316003,0.010347563248304947,0.007564133935124273,0.006426830373297743,0.1120409291440887,0.0005587051405676391,0.0004223166059224237,0.0014355248974719404,0.0009383914859852682,-0.0015528465752591147,0.00019990016235424957,0.00044493705553807497
