fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.0800931487527172,-0.5580816435164404,4313,same,1,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Cognitive,Cognitive,0.0003128899979484,0.0028183988413319,0.0010919256606244,0.0064834633281253,0.0063345311953742,0.0204681993679495,0.0765360080781859
1,0.0362335307334468,0.0360408937736458,4313,same,2,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Cognitive,Cognitive,0.0011433617002237,-0.0013943808557771,-0.0003410842283722,0.0006151570580932,-0.0049907131173816,0.0070905619550508,0.1035089062512374
2,0.0001048791297599,-0.0072487753921131,4313,same,3,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Cognitive,Cognitive,0.0027216213122968,0.0041165795364397,-0.0014998662370327,-0.0019260883128406,-0.0030024285917016,0.0080326120546658,0.0540675564058382
3,0.000764448756068,-0.0395175353911714,4313,same,4,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Cognitive,Cognitive,9.259812140838264e-06,0.0019907562225437,0.0049912590764889,0.0051330724467532,0.004766677531767,0.0157251874044499,0.0572287651268645
4,0.0444608605334262,0.0357126952161827,4313,same,5,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Cognitive,Cognitive,0.0024437218731517,0.0016836177503826,0.0033106915090844,0.0016147161331815,-0.0023609977102004,0.0093235782445947,0.08089528886788
5,0.0797415171891918,-0.2748617330238769,4313,same,6,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Cognitive,Cognitive,-0.0004694021252774,-0.0056055208798007,0.0034196735231335,-0.0039595092003252,-0.0016090075378767,0.0133031512398911,0.1444649458919212
6,0.0532025979596287,0.0521037679961639,4313,same,7,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Cognitive,Cognitive,0.0006135291875228,0.0005018757810482,-0.0012225815213593,0.0008775378299251,-0.0037812211399806,0.0141088109463493,0.0933073282860234
7,0.0432558087668982,0.036258881640755,4313,same,8,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Cognitive,Cognitive,0.0041151274893312,-0.0025186823045728,0.002182339054879,-0.0008619644233314,0.0012534607576645,0.0165908032689289,0.0639231434191753
8,0.1227508518235661,0.1211274251497332,4313,same,9,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Cognitive,Cognitive,0.0016373969257728,0.0022717441606022,0.000661455719055,0.0048746295908861,0.0062935478923069,0.0248586182115098,0.1195216257733972
9,-0.0147468950184768,-0.0505447916475985,4313,same,10,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Cognitive,Cognitive,-0.0009225512078862,0.0022944317415414,-0.0015556052057327,-0.0033926331031492,0.002695728577301,0.0031399615411878,0.0434648603586143
10,0.0795224077390764,0.0329185651667913,4313,same,11,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Cognitive,Cognitive,0.0028789471692673,0.002334812588167,0.0050720646033186,0.0072268039090611,0.0042826960833035,0.0162988603512065,0.0794561838815374
