fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.060375722588764,0.058758147532855576,503,same,1,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.01222773263677499,0.014468900615674097,0.001704197006962027,-0.007827590594170885,-0.001487554226881027,0.005270642710075069,0.09142331503976853
1,0.2656989899988288,-0.08505690303309699,492,same,2,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.01326207230343901,-0.0012934624670302374,0.003749520391842909,0.013684134158877526,0.0060453643774315054,0.052097447725664825,0.22422734702716215
2,0.001754975925604918,0.0017531032115434275,503,same,3,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,-0.0001007620180365043,-0.01198985602350049,-0.018768211234367983,-0.0036665347192057717,-0.0006273393690950701,-0.010027500789767307,0.09475970285145159
3,-0.07728379593421342,-0.08439981823863807,503,same,4,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,-0.0058110901913446256,0.0004099627418455487,-0.0009608069703750388,0.0013426559910442392,-0.0022169559969338337,0.015257635629376232,0.011269825271487921
4,0.012370047473672874,-0.016416261708467772,471,same,5,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,-0.010956106569705049,-0.005318245960893919,-0.010038821816361199,-0.009473751651143902,-0.006568511162544932,-0.00579821364049764,0.08711190642247149
5,-0.00656605206072558,-0.023593732861706407,503,same,6,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.0013019545769158646,-0.0073927164533855285,-0.0015527018995086905,-0.0024721796766367767,-0.012829035585019733,0.009833422470641406,0.0755566931218846
6,0.062237467228183574,0.02773914104863029,503,same,7,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,-0.00524936972793002,3.3979389631966225e-05,-5.511355263361217e-05,0.005488402049979779,-0.003932937927805869,-0.0007881047820271547,0.1536788457652504
7,0.03624832895347074,-0.010667654216064637,503,same,8,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.00013953602699832147,0.0066711291203954024,0.0016740326982241927,0.022485603736752523,0.0032767112039105983,0.003812630376331105,0.03737814864782962
8,0.2536496290912198,0.24715875077834626,495,same,9,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.012141598330034387,0.0029743201245326254,0.011198245972747035,0.015720272487490704,0.018373592378629768,-0.007357773334765149,0.211867678411057
9,0.20665966636785893,0.14901494620708178,503,same,10,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.007086214436968374,0.006938462832739645,0.010257838471448854,0.007286518769343897,0.00939093642535258,0.01535658134052902,0.20377326403222132
