fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.0522395702519661,-0.2988243276870312,4313,different,4313,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
1,-0.0255447053619555,-0.0886162565405663,4313,different,4313,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
2,0.0574735100882791,0.0564628484100607,4313,different,4313,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
3,0.0084591468422635,-0.0195120114511855,4313,different,4313,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
4,-0.0034527777919421,-0.0690129767725324,4313,different,4313,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
5,-0.0019975937919256,-0.0511921684019187,4313,different,4313,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
6,0.0180882449208068,0.0113341970862298,4313,different,4313,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
7,0.0640209154252573,0.0620641809452929,4313,different,4313,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
8,0.0394296575001946,-0.015251561217487001,4313,different,4313,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
9,0.0283714336673891,0.019668147999761004,4313,different,4313,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
