fold,score,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,special,features T-21,features T-20,features T-19,features T-18,features T-17,features T-16,features T-15,features T-14,features T-13,features T-12,features T-11,features T-10,features T-9,features T-8,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,-0.0857224322845708,232,same,1,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000.0|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",all,Perception,Memory,None,0.0738952548186567,0.0801072584329821,0.0846290410112651,0.1006615592909283,0.1229061917081064,0.1659561869093755,0.2958345754929515,-0.0067569374240065,-0.0053345487302454,-0.0045387089739596,-0.0067296990428231,-0.0083556190189192,-0.0030077719022962,0.0013082953372181,0.0087506798342359,0.0121399921318452,0.0102572182109565,0.0110610184102951,0.0128914378887003,0.0218245958357337,0.0149765275502625
1,0.0190586622516855,214,same,10,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000.0|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",all,Perception,Memory,None,0.0738952548186567,0.0801072584329821,0.0846290410112651,0.1006615592909283,0.1229061917081064,0.1659561869093755,0.2958345754929515,-0.0067569374240065,-0.0053345487302454,-0.0045387089739596,-0.0067296990428231,-0.0083556190189192,-0.0030077719022962,0.0013082953372181,0.0087506798342359,0.0121399921318452,0.0102572182109565,0.0110610184102951,0.0128914378887003,0.0218245958357337,0.0149765275502625
2,0.0449269466401048,211,same,11,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000.0|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",all,Perception,Memory,None,0.0738952548186567,0.0801072584329821,0.0846290410112651,0.1006615592909283,0.1229061917081064,0.1659561869093755,0.2958345754929515,-0.0067569374240065,-0.0053345487302454,-0.0045387089739596,-0.0067296990428231,-0.0083556190189192,-0.0030077719022962,0.0013082953372181,0.0087506798342359,0.0121399921318452,0.0102572182109565,0.0110610184102951,0.0128914378887003,0.0218245958357337,0.0149765275502625
3,-0.0630875499636878,229,same,12,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000.0|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",all,Perception,Memory,None,0.0738952548186567,0.0801072584329821,0.0846290410112651,0.1006615592909283,0.1229061917081064,0.1659561869093755,0.2958345754929515,-0.0067569374240065,-0.0053345487302454,-0.0045387089739596,-0.0067296990428231,-0.0083556190189192,-0.0030077719022962,0.0013082953372181,0.0087506798342359,0.0121399921318452,0.0102572182109565,0.0110610184102951,0.0128914378887003,0.0218245958357337,0.0149765275502625
4,0.1293331408921941,210,same,13,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000.0|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",all,Perception,Memory,None,0.0738952548186567,0.0801072584329821,0.0846290410112651,0.1006615592909283,0.1229061917081064,0.1659561869093755,0.2958345754929515,-0.0067569374240065,-0.0053345487302454,-0.0045387089739596,-0.0067296990428231,-0.0083556190189192,-0.0030077719022962,0.0013082953372181,0.0087506798342359,0.0121399921318452,0.0102572182109565,0.0110610184102951,0.0128914378887003,0.0218245958357337,0.0149765275502625
5,-0.0980956351300474,216,same,14,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000.0|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",all,Perception,Memory,None,0.0738952548186567,0.0801072584329821,0.0846290410112651,0.1006615592909283,0.1229061917081064,0.1659561869093755,0.2958345754929515,-0.0067569374240065,-0.0053345487302454,-0.0045387089739596,-0.0067296990428231,-0.0083556190189192,-0.0030077719022962,0.0013082953372181,0.0087506798342359,0.0121399921318452,0.0102572182109565,0.0110610184102951,0.0128914378887003,0.0218245958357337,0.0149765275502625
6,0.0695032482691659,224,same,15,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000.0|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",all,Perception,Memory,None,0.0738952548186567,0.0801072584329821,0.0846290410112651,0.1006615592909283,0.1229061917081064,0.1659561869093755,0.2958345754929515,-0.0067569374240065,-0.0053345487302454,-0.0045387089739596,-0.0067296990428231,-0.0083556190189192,-0.0030077719022962,0.0013082953372181,0.0087506798342359,0.0121399921318452,0.0102572182109565,0.0110610184102951,0.0128914378887003,0.0218245958357337,0.0149765275502625
7,0.1913211620944901,224,same,16,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000.0|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",all,Perception,Memory,None,0.0738952548186567,0.0801072584329821,0.0846290410112651,0.1006615592909283,0.1229061917081064,0.1659561869093755,0.2958345754929515,-0.0067569374240065,-0.0053345487302454,-0.0045387089739596,-0.0067296990428231,-0.0083556190189192,-0.0030077719022962,0.0013082953372181,0.0087506798342359,0.0121399921318452,0.0102572182109565,0.0110610184102951,0.0128914378887003,0.0218245958357337,0.0149765275502625
8,-0.0533127708615925,230,same,17,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000.0|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",all,Perception,Memory,None,0.0738952548186567,0.0801072584329821,0.0846290410112651,0.1006615592909283,0.1229061917081064,0.1659561869093755,0.2958345754929515,-0.0067569374240065,-0.0053345487302454,-0.0045387089739596,-0.0067296990428231,-0.0083556190189192,-0.0030077719022962,0.0013082953372181,0.0087506798342359,0.0121399921318452,0.0102572182109565,0.0110610184102951,0.0128914378887003,0.0218245958357337,0.0149765275502625
9,0.0391297336477862,213,same,18,"memory:None|steps:[('standardscaler', StandardScaler()), ('linearsvr', LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345))]|verbose:False|standardscaler:StandardScaler()|linearsvr:LinearSVR(loss='squared_epsilon_insensitive', max_iter=1000.0,
          random_state=12345)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|linearsvr__C:1.0|linearsvr__dual:True|linearsvr__epsilon:0.0|linearsvr__fit_intercept:True|linearsvr__intercept_scaling:1.0|linearsvr__loss:squared_epsilon_insensitive|linearsvr__max_iter:1000.0|linearsvr__random_state:12345|linearsvr__tol:0.0001|linearsvr__verbose:0",all,Perception,Memory,None,0.0738952548186567,0.0801072584329821,0.0846290410112651,0.1006615592909283,0.1229061917081064,0.1659561869093755,0.2958345754929515,-0.0067569374240065,-0.0053345487302454,-0.0045387089739596,-0.0067296990428231,-0.0083556190189192,-0.0030077719022962,0.0013082953372181,0.0087506798342359,0.0121399921318452,0.0102572182109565,0.0110610184102951,0.0128914378887003,0.0218245958357337,0.0149765275502625
